,cluster,name,country.etc,pop
314,314,Ayorou,Niger,26827
315,315,Townsville,Australia,141227
316,316,Ayteke,Kazakhstan,36207
317,317,Olavarria,Argentina,86995
318,318,Suva,Fiji,203028
319,319,Babanusah,Sudan,30211
320,320,Ha Noi,Vietnam,1452055
321,321,Ho Chi Minh City,Vietnam,3496586
322,322,Maracaibo,Venezuela,2000482
323,323,Roxas,Philippines,15703
324,324,Badr,Saudi Arabia,27895
325,325,Bafoulabe,Mali,28690
326,326,Bafq,Iran,32523
327,327,Kerman,Iran,606967
328,328,Bagran,Afghanistan,26322
329,329,Bahia Blanca,Argentina,277423
330,330,Baihe,China,63782
331,331,Karamay,China,181871
332,332,Bairiki,Kiribati,45982
333,333,Lanzhou,China,1431171
334,334,Bajanhongor,Mongolia,23456
335,335,Puerto Princesa,Philippines,164856
336,336,Pekan Baru,Indonesia,677741
337,337,Lilongwe,Malawi,683477
338,338,Sambalpur,India,165016
339,339,Balikpapan,Indonesia,440687
340,340,Balimo,Papua New Guinea,3697
341,341,Balkanabat,Turkmenistan,87600
342,342,Balkhash,Kazakhstan,81268
343,343,Brisbane,Australia,1891999
344,344,Balotra,India,69771
345,345,Balsas,Brazil,71984
346,346,Jiroft,Iran,119127
347,347,Bamako,Mali,1342519
348,348,Bambari,Central African Republic,32159
349,349,Banda Aceh,Indonesia,259723
350,350,Rantauprapat,Indonesia,104203
351,351,Bandar Lampung,Indonesia,828507
352,352,Kota Kinabalu,Malaysia,493650
353,353,Bandar-e 'Abbas,Iran,323256
354,354,Bandar-e Lengeh,Iran,22994
355,355,Bandarbeyla,Somalia,14027
356,356,Bandundu,Congo Democratic Republic,120797
357,357,Bobo Dioulasso,Burkina Faso,366383
358,358,Bangassou,Central African Republic,24300
359,359,Makasar,Indonesia,1351104
360,360,Man,Ivory Coast,142362
361,361,Bangui,Central African Republic,547668
362,362,Bani Walid,Libya,47805
363,363,Kandi,Benin,113528
364,364,Banjarmasin,Indonesia,581573
365,365,Harare,Zimbabwe,1575127
366,366,Lumphat,Cambodia,20040
367,367,Banmo,Myanmar,48639
368,368,Baoji,China,446972
369,369,Baolan,Indonesia,45156
370,370,Bouar,Central African Republic,27982
371,371,Baotou,China,1301768
372,372,Ha'il,Saudi Arabia,283360
373,373,Kujbysev,Russia,48136
374,374,Barawe,Somalia,27608
375,375,Juazeiro do Norte,Brazil,230040
376,376,Barcelona,Venezuela,441639
377,377,Bardere,Somalia,43084
378,378,Bardiyah,Libya,9397
379,379,N'Djamena,Chad,737281
380,380,Longyearbyen,Svalbard and Jan Mayen,1263
381,381,Bariloche,Argentina,96804
382,382,Quetta,Pakistan,759894
383,383,Barmer,India,90961
384,384,Novosibirsk,Russia,1417107
385,385,Tangara da Serra,Brazil,59052
386,386,Barra do Corda,Brazil,50011
387,387,Barra do Garcas,Brazil,53269
388,388,Barranca,Peru,5913
389,389,Barreiras,Brazil,167866
390,390,Memphis,USA,639736
391,391,Baruun-Urt,Mongolia,15930
392,392,Saransk,Russia,302918
393,393,Basco,Philippines,7411
394,394,Basoko,Congo Democratic Republic,44377
395,395,Bassar,Algeria,144928
396,396,Batangafo,Central African Republic,15392
397,397,Sydney,Australia,4444513
398,398,Bridgetown,Barbados,98725
399,399,Wa,Ghana,80572
400,400,Baton Rouge,USA,222217
401,401,Bongao,Philippines,27275
402,402,Palembang,Indonesia,1249543
403,403,Bau Bau,Indonesia,84957
404,404,Fort-Shevchenko,Kazakhstan,5359
405,405,Kulsary,Kazakhstan,41303
406,406,Baydabo,Somalia,132433
407,407,Oktyabrsk,Kazakhstan,28375
408,408,Sibay,Russia,62486
409,409,Mari,Turkmenistan,115947
410,410,Houston,USA,2043005
411,411,Bealanana,Madagascar,17448
412,412,Beaufort-West,South Africa,46277
413,413,Beaumont,USA,110949
414,414,Grande Prairie,Canada,42712
415,415,Qincheng,China,177229
416,416,Beihai,China,305015
417,417,Beira,Mozambique,545724
418,418,Pietersburg,South Africa,128014
419,419,Medan,Indonesia,1757817
420,420,Meiganga,Cameroon,83954
421,421,Villa Maria,Argentina,93372
422,422,Bella Vista,Paraguay,5696
423,423,Saint Louis,USA,315546
424,424,Omaha,USA,417809
425,425,Belogorsk,Russia,65891
426,426,Biysk,Russia,214412
427,427,Morondava,Madagascar,37839
428,428,Magnitogorsk,Russia,411685
429,429,Beloyarskiy,Russia,19129
430,430,Kogalym,Russia,58694
431,431,Bend,USA,68945
432,432,Benghazi,Libya,665689
433,433,Bengkulu,Indonesia,324769
434,434,Lobito,Angola,213887
435,435,Bentiu,Sudan,7781
436,436,Berbera,Somalia,252538
437,437,Tarija,Bolivia,165638
438,438,Beroroha,Madagascar,19156
439,439,Krasnoyarsk,Russia,906949
440,440,Bethanien,Namibia,10661
441,441,Betioky,Madagascar,31977
442,442,Beyla,Guinea,14008
443,443,Beyneu,Kazakhstan,14341
444,444,Samara,Russia,1127228
445,445,Raipur,India,699683
446,446,Bhawanipatna,India,65385
447,447,Bhubaneswar,India,794039
448,448,Tabuk,Saudi Arabia,469940
449,449,Biak,Indonesia,41308
450,450,Wufeng,China,102936
451,451,Bikeer,Marshall Islands,8
452,452,Enewetak,Marshall Islands,905
453,453,Lesozavodsk,Russia,41648
454,454,Billings,USA,101249
455,455,Bilma,Niger,2285
456,456,Biloela,Australia,6463
457,457,Gulfport,USA,71400
458,458,Bima,Indonesia,68030
459,459,Binga,Congo Democratic Republic,61368
460,460,Lusaka,Zambia,1306577
461,461,Takaeang,Kiribati,763
462,462,Bintulu,Malaysia,163380
463,463,Birao,Central African Republic,10243
464,464,Birjand,Iran,207947
465,465,Birmingham,USA,229300
466,466,Niamey,Niger,801297
467,467,Birobidzhan,Russia,75773
468,468,al-Qararah,Algeria,87352
469,469,Bismarck,USA,56927
470,470,Mongo,Chad,28386
471,471,Manado,Indonesia,465650
472,472,Roanoke,USA,90410
473,473,Emerald,Australia,9408
474,474,Blagoveshchensk,Russia,222010
475,475,Sudbury,Canada,111118
476,476,Springfield,USA,116725
477,477,Half Tree Hollow,Saint Helena,786
478,478,Kansas City,USA,441833
479,479,Boa Vista,Brazil,244261
480,480,Miami,USA,386740
481,481,Montes Claros,Brazil,341562
482,482,Bodaybo,Russia,15738
483,483,George Town,Cayman Islands,30570
484,484,Lulea,Sweden,45652
485,485,Boende,Congo Democratic Republic,32800
486,486,Khuis,Botswana,846
487,487,Boise City,USA,193628
488,488,Bokoro,Chad,15053
489,489,Bokspits,Botswana,559
490,490,Bolobo,Congo Democratic Republic,28471
491,491,Bolshaya,Kazakhstan,4076
492,492,Bom Jesus da Lapa,Brazil,41281
493,493,Boma,Congo Democratic Republic,352061
494,494,Siuna,Nicaragua,16339
495,495,Bondo,Congo Democratic Republic,18132
496,496,Bongandanga,Congo Democratic Republic,4195
497,497,Bontang,Indonesia,104383
498,498,Booue,Gabon,5919
499,499,Maun,Botswana,51573
500,500,Tyumen,Russia,521990
501,501,Borzya,Russia,30084
502,502,Bose,China,91161
503,503,Bosobolo,Congo Democratic Republic,14874
504,504,Bossangoa,Central African Republic,27157
505,505,Shreveport,USA,196228
506,506,Bouca,Central African Republic,13321
507,507,Bougouni,Mali,36224
508,508,Noumea,New Caledonia,94751
509,509,Boundiali,Ivory Coast,39991
510,510,Salt Lake City,USA,177318
511,511,Bousso,Chad,13859
512,512,Bowen,Australia,11251
513,513,Nashville,USA,523547
514,514,Bozoum,Central African Republic,41913
515,515,Saint-Denis,Reunion,137787
516,516,Bratsk,Russia,260245
517,517,Kinshasa,Congo Democratic Republic,8096254
518,518,Los Llanos de Aridane,Canary Islands,19885
519,519,Tucurui,Brazil,79363
520,520,Breves,Brazil,47590
521,521,Bria,Central African Republic,29345
522,522,Hobart,Australia,206640
523,523,al-Bayad,Algeria,73273
524,524,Tulsa,USA,379833
525,525,Broken Hill,Australia,17033
526,526,Broome,Australia,13415
527,527,Brumado,Brazil,42274
528,528,College Station,USA,80627
529,529,Bu Jaydur,Western Sahara,41178
530,530,Bu Tilimit,Mauritania,34078
531,531,Buala,Solomon Islands,2726
532,532,Buchanan,Liberia,26435
533,533,Ulyanovsk,Russia,642257
534,534,Bukama,Congo Democratic Republic,39057
535,535,Padang,Indonesia,869534
536,536,Erdenet,Mongolia,82137
537,537,Lae,Papua New Guinea,75578
538,538,Kikwit,Congo Democratic Republic,188244
539,539,Bumba,Congo Democratic Republic,97631
540,540,Bunia,Congo Democratic Republic,98242
541,541,Buon Me Thuot,Vietnam,150439
542,542,Bur,Sudan,27223
543,543,Bur Gabo,Somalia,3158
544,544,Bur Sudan,Sudan,474363
545,545,Burgeo,Canada,1591
546,546,Pirapora,Brazil,52108
547,547,Raleigh,USA,350822
548,548,Launceston,Australia,73074
549,549,Smithers,Canada,5442
550,550,Businga,Congo Democratic Republic,29558
551,551,Buta,Congo Democratic Republic,46375
552,552,Butaritari,Kiribati,2522
553,553,Buy,Russia,26186
554,554,Huambo,Angola,233287
555,555,Soyo,Angola,74616
556,556,Cabo San Lucas,Mexico,43562
557,557,Caborca,Mexico,53475
558,558,Caceres,Brazil,75030
559,559,Cacoal,Brazil,56617
560,560,Caluquembe,Angola,30964
561,561,Guanambi,Brazil,59757
562,562,Cagcaran,Afghanistan,33445
563,563,Zabol,Iran,124809
564,564,Calabozo,Venezuela,119862
565,565,Calama,Chile,145288
566,566,Calvinia,South Africa,8122
567,567,Nha Trang,Vietnam,288122
568,568,Uige,Angola,60988
569,569,Funchal,Madeira,96893
570,570,Kuito,Angola,114791
571,571,Pelotas,Brazil,324704
572,572,Camargo,Bolivia,4775
573,573,Camopi,French Guiana,1332
574,574,Senhor do Bonfim,Brazil,48186
575,575,Culiacan,Mexico,591064
576,576,Campo Grande,Brazil,745017
577,577,Pucallpa,Peru,324869
578,578,Liupanshui,China,168751
579,579,Cap-aux-Meules,Canada,1692
580,580,San Antonio,Northern Mariana Islands,5812
581,581,Carmen,Mexico,144628
582,582,Carnarvon,Australia,7502
583,583,Carnarvon,South Africa,5768
584,584,Melfort,Canada,5376
585,585,Reno,USA,206626
586,586,Petrolina,Brazil,200743
587,587,Tucson,USA,525268
588,588,Casper,USA,51808
589,589,Catamarca,Argentina,193326
590,590,Luanda,Angola,2875277
591,591,Luena,Angola,21301
592,592,Cecerleg,Mongolia,19305
593,593,Cedar Rapids,USA,123243
594,594,Matehuala,Mexico,68394
595,595,Newcastle,Australia,500085
596,596,Chabahar,Iran,49378
597,597,Chipata,Zambia,88669
598,598,Chagar,Mauritania,10856
599,599,Sumbawanga,Tanzania,92250
600,600,Chama,Zambia,4157
601,601,Kitwe,Zambia,408337
602,602,Taipei,Taiwan,2491662
603,603,Urumqi,China,1538778
604,604,Channel-Port aux Basques,Canada,4123
605,605,Chapaevsk,Kazakhstan,7717
606,606,Chibougamou,Canada,7638
607,607,Chapleau,Canada,3029
608,608,Charleston,USA,106372
609,609,Charleston,USA,49804
610,610,Charlotte,USA,607111
611,611,Charters Towers,Australia,9766
612,612,Naha,Japan,300639
613,613,Chattanooga,USA,153617
614,614,Chegdomyn,Russia,14710
615,615,Chengde,China,454580
616,616,Virginia Beach,USA,453884
617,617,Xai-Xai,Mozambique,130418
618,618,Kasama,Zambia,94772
619,619,Chimore,Bolivia,5502
620,620,Chinsali,Zambia,14566
621,621,Chiredzi,Zimbabwe,28889
622,622,Chisasibi,Canada,3536
623,623,Chita,Russia,305492
624,624,Mtwara,Tanzania,97863
625,625,Chunskiy,Russia,16060
626,626,Ciudad Bolivar,Venezuela,295604
627,627,Ciudad Guayana,Venezuela,769243
628,628,Clarence Town,Bahamas,1748
629,629,Clyde River,Canada,1054
630,630,Coari,Brazil,53186
631,631,Cobija,Bolivia,28207
632,632,Timmins,Canada,33319
633,633,Cockburn Harbour,Turks and Caicos,811
634,634,Spokane,USA,197513
635,635,Coihaique,Chile,46077
636,636,Cojbalsan,Mongolia,44880
637,637,Cojr,Mongolia,10085
638,638,Colesberg,South Africa,12387
639,639,Colider,Brazil,22112
640,640,Colinas,Brazil,26014
641,641,Colonia,Micronesia,2100
642,642,Columbia,USA,118020
643,643,Columbia,USA,92756
644,644,Comodoro Rivadavia,Argentina,141991
645,645,Conceicao do Araguaia,Brazil,26786
646,646,San Ignacio,Bolivia,24672
647,647,Constitucion,Mexico,40816
648,648,Contamana,Peru,14205
649,649,Little Rock,USA,184323
650,650,Cooma,Australia,6439
651,651,Darwin,Australia,93417
652,652,Freeport,Bahamas,47058
653,653,Copiapo,Chile,130317
654,654,Coquimbo,Chile,163689
655,655,Puquio,Peru,10511
656,656,Corner Brook,Canada,18387
657,657,Coro,Venezuela,200445
658,658,Coron,Philippines,8986
659,659,Corpus Christi,USA,280808
660,660,Corumba,Brazil,98348
661,661,Coxim,Brazil,30763
662,662,Cravo Norte,Colombia,4972
663,663,Cruzeiro do Sul,Brazil,46821
664,664,Garue,Mozambique,128038
665,665,Mexicali,Mexico,606419
666,666,Cuiaba,Brazil,531408
667,667,Kuantan,Malaysia,382628
668,668,Cutral Co,Argentina,47519
669,669,Cuyo,Philippines,7777
670,670,Da Nang,Vietnam,478703
671,671,Dabba,Saudi Arabia,23053
672,672,Warqla,Algeria,155618
673,673,Dabola,Guinea,13014
674,674,Dalanzadgad,Mongolia,15269
675,675,Dalbandin,Pakistan,14953
676,676,Dali,China,135458
677,677,Dalian,China,2076179
678,678,Dalnegorsk,Russia,37920
679,679,Daltenganj,India,79314
680,680,Danielskuil,South Africa,10094
681,681,Jahrom,Iran,110216
682,682,Darhan,Mongolia,73783
683,683,Daru,Papua New Guinea,15717
684,684,Geresk,Afghanistan,46011
685,685,Datong,China,1061482
686,686,Dauphin,Canada,8497
687,687,Dawei,Myanmar,140475
688,688,Yinchuan,China,480916
689,689,Daxian,China,131122
690,690,Hailar,China,215869
691,691,Dayong,China,86342
692,692,De Aar,South Africa,32394
693,693,Huntsville,USA,169155
694,694,Ghanzi,Botswana,12758
695,695,Paulo Afonso,Brazil,85947
696,696,Kananga,Congo Democratic Republic,470360
697,697,Gambela,Ethiopia,45308
698,698,Derzhavinsk,Kazakhstan,13936
699,699,Hwange,Zimbabwe,32566
700,700,Hithadhoo,Maldives,10012
701,701,Diamantina,Brazil,37328
702,702,Diapaga,Burkina Faso,26582
703,703,Dibaya,Congo Democratic Republic,4687
704,704,Dimapur,India,144030
705,705,Diego de Almagro,Chile,18282
706,706,Dien Bien,Vietnam,43450
707,707,Kongan,Iran,16388
708,708,Dire,Mali,10957
709,709,Djambala,Congo,9800
710,710,Perm,Russia,976116
711,711,Doctor Pedro P. Pena,Paraguay,5274
712,712,Dogondoutchi,Niger,32489
713,713,Mandera,Kenya,36940
714,714,Dolores,Argentina,25360
715,715,Hue,Vietnam,292450
716,716,Dong Hoi,Vietnam,31613
717,717,Dong Tong,Cambodia,35905
718,718,Dongosaru,Palau,20
719,719,Dongsheng,China,101698
720,720,Dori,Burkina Faso,39888
721,721,Dothan,USA,62449
722,722,Douentza,Mali,8068
723,723,Dourados,Brazil,165222
724,724,Dourbali,Chad,18079
