ROUTE,EMBARK_PORT,DISEMBARK_PORT,CABIN_TYPE,DURATION,CRUISE_REGION,BOOKING_WEEK_PRIOR,CANCEL_WEEK_PRIOR,EMBARK_REGION,DEBARK_REGION,PRICE_PAID,NO_OF_PEOPLE_ON_BOOKING
SOU-AKL,SOU,AKL,O,40,West Bound,33,33,UK,New Zealand,2811.127882,2
SOU-AKL,SOU,AKL,O,40,West Bound,45,,UK,New Zealand,5171.396346,2
SOU-AKL,SOU,AKL,B,40,West Bound,42,,UK,New Zealand,6343.673826,2
SOU-BNE,SOU,BNE,B,47,West Bound,36,35,UK,Australia - Queensland,9784.513217,2
SOU-SFO,SOU,SFO,B,24,Panama Canal,57,,UK,USA - West Coast,4182.892388,2
SOU-SFO,SOU,SFO,B,24,Panama Canal,15,,UK,USA - West Coast,3520.268517,2
SOU-SFO,SOU,SFO,I,24,Panama Canal,4,,UK,USA - West Coast,,2
SOU-SFO,SOU,SFO,B,24,Panama Canal,30,,UK,USA - West Coast,4446.411278,2
SOU-SOU,SOU,SOU,I,99,West Bound,74,73,UK,UK,11110.10353,2
SOU-SOU,SOU,SOU,B,99,West Bound,69,48,UK,UK,16925.32856,2
SOU-SOU,SOU,SOU,B,99,West Bound,80,15,UK,UK,16168.11188,2
SOU-SOU,SOU,SOU,S,99,West Bound,53,,UK,UK,723245.9384,2
SOU-BNE,SOU,BNE,B,47,West Bound,33,,UK,Australia - Queensland,6306.255232,2
SOU-BNE,SOU,BNE,B,47,West Bound,45,,UK,Australia - Queensland,6358.737606,2
SOU-SFO,SOU,SFO,B,24,Panama Canal,38,13,UK,USA - West Coast,2084.107475,2
SOU-SFO,SOU,SFO,B,24,Panama Canal,33,,UK,USA - West Coast,4016.628446,1
SOU-SYD,SOU,SYD,B,44,West Bound,54,,UK,Australia - New South Wales,7191.734625,2
SOU-SFO,SOU,SFO,O,24,Panama Canal,26,,UK,USA - West Coast,2777.379694,2
SOU-SYD,SOU,SYD,I,44,West Bound,35,17,UK,Australia - New South Wales,2820.446568,2
SOU-SOU,SOU,SOU,O,99,West Bound,91,73,UK,UK,11846.78671,2
SOU-SYD,SOU,SYD,B,44,West Bound,11,,UK,Australia - New South Wales,8645.219772,2
SOU-SYD,SOU,SYD,O,44,West Bound,49,47,UK,Australia - New South Wales,10873.46681,1
SFO-SYD,SFO,SYD,B,20,South Pacific,55,54,USA - West Coast,Australia - New South Wales,3042.097569,2
SFO-SYD,SFO,SYD,B,20,South Pacific,53,,USA - West Coast,Australia - New South Wales,3589.360165,2
SOU-SOU,SOU,SOU,B,99,West Bound,18,15,UK,UK,24820.11159,1
SOU-SOU,SOU,SOU,B,99,West Bound,12,,UK,UK,18087.86331,2
SFO-SYD,SFO,SYD,I,20,South Pacific,12,,USA - West Coast,Australia - New South Wales,2948.071104,2
SFO-SYD,SFO,SYD,B,20,South Pacific,51,20,USA - West Coast,Australia - New South Wales,3881.512664,2
SFO-SYD,SFO,SYD,I,20,South Pacific,48,,USA - West Coast,Australia - New South Wales,2894.789411,2
SOU-SOU,SOU,SOU,I,99,West Bound,49,15,UK,UK,21345.96264,1
AKL-SYD,AKL,SYD,I,4,New Zealand,22,,New Zealand,Australia - New South Wales,263.8927413,2
AKL-SYD,AKL,SYD,I,4,New Zealand,21,20,New Zealand,Australia - New South Wales,391.7422979,1
AKL-SYD,AKL,SYD,B,4,New Zealand,17,16,New Zealand,Australia - New South Wales,489.909066,2
SOU-SYD,SOU,SYD,B,44,West Bound,37,,UK,Australia - New South Wales,7791.809193,2
SOU-SYD,SOU,SYD,B,44,West Bound,36,,UK,Australia - New South Wales,3669.899577,2
SOU-SYD,SOU,SYD,I,44,West Bound,31,,UK,Australia - New South Wales,4347.062875,1
SOU-SYD,SOU,SYD,B,44,West Bound,44,,UK,Australia - New South Wales,7005.002109,2
SYD-BNE,SYD,BNE,I,3,South Coast/Tasmania,15,15,Australia - New South Wales,Australia - Queensland,289.3894059,2
SYD-HKG,SYD,HKG,I,19,GB Reef/Queensland,63,,Australia - New South Wales,China - Southern,2369.615783,2
SFO-SYD,SFO,SYD,B,20,South Pacific,55,,USA - West Coast,Australia - New South Wales,3580.11178,2
SYD-HKG,SYD,HKG,O,19,GB Reef/Queensland,12,,Australia - New South Wales,China - Southern,2819.634041,2
SFO-SYD,SFO,SYD,B,20,South Pacific,33,,USA - West Coast,Australia - New South Wales,3781.678078,2
SYD-HKG,SYD,HKG,B,19,GB Reef/Queensland,49,,Australia - New South Wales,China - Southern,3317.439192,2
SYD-HKG,SYD,HKG,B,19,GB Reef/Queensland,49,,Australia - New South Wales,China - Southern,3096.457805,2
SYD-SIN,SYD,SIN,B,25,Southeast Asia,60,,Australia - New South Wales,Singapore,4506.541699,2
AKL-SYD,AKL,SYD,B,4,New Zealand,21,,New Zealand,Australia - New South Wales,499.2540525,2
AKL-SYD,AKL,SYD,O,4,New Zealand,25,,New Zealand,Australia - New South Wales,470.1386585,2
SYD-SIN,SYD,SIN,B,25,Southeast Asia,11,,Australia - New South Wales,Singapore,4784.819009,2
SYD-SOU,SYD,SOU,B,55,Southeast Asia,25,24,Australia - New South Wales,UK,10499.55871,2
SYD-HKG,SYD,HKG,B,19,GB Reef/Queensland,15,13,Australia - New South Wales,China - Southern,2592.032601,2
SYD-HKG,SYD,HKG,B,19,GB Reef/Queensland,14,,Australia - New South Wales,China - Southern,1655.292686,2
SYD-SOU,SYD,SOU,O,55,Southeast Asia,26,25,Australia - New South Wales,UK,8059.583431,2
SYD-HKG,SYD,HKG,B,19,GB Reef/Queensland,30,,Australia - New South Wales,China - Southern,1485.370128,2
BNE-SOU,BNE,SOU,B,52,Southeast Asia,38,15,Australia - Queensland,UK,4094.917921,2
SYD-SIN,SYD,SIN,O,25,Southeast Asia,28,27,Australia - New South Wales,Singapore,4528.447789,2
SYD-SOU,SYD,SOU,B,55,Southeast Asia,38,,Australia - New South Wales,UK,3992.892899,2
HKG-DXB,HKG,DXB,B,17,Southeast Asia,44,,China - Southern,UAE,2557.412682,2
HKG-DXB,HKG,DXB,B,17,Southeast Asia,57,,China - Southern,UAE,2821.051165,2
SYD-SOU,SYD,SOU,B,55,Southeast Asia,36,35,Australia - New South Wales,UK,6512.210522,2
BNE-HKG,BNE,HKG,B,16,GB Reef/Queensland,15,,Australia - Queensland,China - Southern,1243.408576,2
HKG-SOU,HKG,SOU,B,36,Southeast Asia,102,102,China - Southern,UK,5128.991961,2
HKG-SOU,HKG,SOU,B,36,Southeast Asia,41,,China - Southern,UK,6724.909695,2
BNE-SOU,BNE,SOU,B,52,Southeast Asia,38,,Australia - Queensland,UK,6880.0132,2
HKG-DXB,HKG,DXB,B,17,Southeast Asia,74,,China - Southern,UAE,2286.635555,2
SIN-SOU,SIN,SOU,O,30,Southern Asia,37,,Singapore,UK,3870.250468,2
SIN-DXB,SIN,DXB,B,11,Southern Asia,46,,Singapore,UAE,1747.496532,2
SIN-SOU,SIN,SOU,O,30,Southern Asia,31,30,Singapore,UK,4465.483001,2
DXB-SOU,DXB,SOU,B,19,Middle East,17,,UAE,UK,2121.03332,2
SOU-AKL,SOU,AKL,I,40,West Bound,55,55,UK,New Zealand,4505.003945,2
SOU-AKL,SOU,AKL,O,40,West Bound,38,,UK,New Zealand,5290.704212,2
SOU-AKL,SOU,AKL,B,40,West Bound,49,,UK,New Zealand,6228.198637,2
SOU-SFO,SOU,SFO,O,24,Panama Canal,59,58,UK,USA - West Coast,5033.678014,1
SOU-SFO,SOU,SFO,I,24,Panama Canal,37,,UK,USA - West Coast,2834.606566,1
SOU-SFO,SOU,SFO,B,24,Panama Canal,29,24,UK,USA - West Coast,3581.074382,2
SOU-SOU,SOU,SOU,B,99,West Bound,94,,UK,UK,15880.34603,2
SOU-SOU,SOU,SOU,O,99,West Bound,63,20,UK,UK,12768.009,2
SOU-AKL,SOU,AKL,I,40,West Bound,60,,UK,New Zealand,4189.073257,2
SOU-SOU,SOU,SOU,B,99,West Bound,57,57,UK,UK,14636.33054,2
SOU-BNE,SOU,BNE,I,47,West Bound,30,22,UK,Australia - Queensland,4546.883728,2
SOU-SFO,SOU,SFO,B,24,Panama Canal,34,,UK,USA - West Coast,4373.49034,2
SOU-SFO,SOU,SFO,O,24,Panama Canal,33,,UK,USA - West Coast,1487.900096,2
SOU-SFO,SOU,SFO,B,24,Panama Canal,33,,UK,USA - West Coast,5813.102916,1
SOU-SYD,SOU,SYD,I,44,West Bound,35,,UK,Australia - New South Wales,2251.176525,2
SOU-AKL,SOU,AKL,I,40,West Bound,52,,UK,New Zealand,3710.546076,2
SOU-SFO,SOU,SFO,O,24,Panama Canal,10,20,UK,USA - West Coast,4478.967426,1
SOU-SYD,SOU,SYD,O,44,West Bound,47,41,UK,Australia - New South Wales,8342.26243,1
SOU-SYD,SOU,SYD,B,44,West Bound,46,,UK,Australia - New South Wales,7309.520389,2
SOU-SYD,SOU,SYD,O,44,West Bound,44,,UK,Australia - New South Wales,4594.428102,2
SOU-SFO,SOU,SFO,I,24,Panama Canal,38,,UK,USA - West Coast,1123.675083,2
SOU-SFO,SOU,SFO,B,24,Panama Canal,68,10,UK,USA - West Coast,813.8325415,1
SOU-SFO,SOU,SFO,B,24,Panama Canal,84,66,UK,USA - West Coast,3782.692012,2
SOU-SOU,SOU,SOU,B,99,West Bound,93,,UK,UK,13798.47499,2
SOU-SOU,SOU,SOU,S,99,West Bound,91,44,UK,UK,24519.76817,2
SOU-SOU,SOU,SOU,B,99,West Bound,91,,UK,UK,15024.79499,2
SOU-SOU,SOU,SOU,B,99,West Bound,91,,UK,UK,15360.60835,2
SOU-SFO,SOU,SFO,B,24,Panama Canal,33,24,UK,USA - West Coast,2000.11552,2
SOU-SFO,SOU,SFO,B,24,Panama Canal,32,,UK,USA - West Coast,2366.066416,2
SOU-SOU,SOU,SOU,B,99,West Bound,70,,UK,UK,16440.48695,2
SFO-SYD,SFO,SYD,B,20,South Pacific,66,,USA - West Coast,Australia - New South Wales,3660.544121,2
SFO-SYD,SFO,SYD,B,20,South Pacific,62,17,USA - West Coast,Australia - New South Wales,3720.86568,2
SOU-SOU,SOU,SOU,S,99,West Bound,93,,UK,UK,20782.84791,2
SFO-SYD,SFO,SYD,I,20,South Pacific,50,,USA - West Coast,Australia - New South Wales,3021.662164,2
SFO-SYD,SFO,SYD,B,20,South Pacific,49,15,USA - West Coast,Australia - New South Wales,3804.30738,2
SFO-SYD,SFO,SYD,I,20,South Pacific,30,,USA - West Coast,Australia - New South Wales,1201.146414,2
SOU-SOU,SOU,SOU,S,99,West Bound,91,51,UK,UK,25484.58834,2
SOU-SOU,SOU,SOU,B,99,West Bound,93,,UK,UK,16303.21153,2
SOU-SYD,SOU,SYD,I,44,West Bound,57,,UK,Australia - New South Wales,4774.367486,2
AKL-SOU,AKL,SOU,I,59,Southeast Asia,40,40,New Zealand,UK,8015.946146,2
AKL-SOU,AKL,SOU,I,59,Southeast Asia,32,,New Zealand,UK,8340.480709,1
SOU-SOU,SOU,SOU,B,99,West Bound,65,,UK,UK,15361.95211,2
SOU-SOU,SOU,SOU,O,99,West Bound,53,36,UK,UK,12346.28428,2
SYD-BNE,SYD,BNE,B,3,South Coast/Tasmania,21,20,Australia - New South Wales,Australia - Queensland,451.1681599,2
SOU-SOU,SOU,SOU,B,99,West Bound,51,,UK,UK,15448.62669,2
SOU-SOU,SOU,SOU,S,99,West Bound,40,28,UK,UK,26974.45057,2
SOU-SOU,SOU,SOU,B,99,West Bound,20,,UK,UK,30391.08039,1
SOU-SOU,SOU,SOU,B,99,West Bound,58,,UK,UK,13936.79117,2
SOU-SOU,SOU,SOU,B,99,West Bound,17,17,UK,UK,13284.3089,2
SOU-AKL,SOU,AKL,B,40,West Bound,46,,UK,New Zealand,5844.649294,2
SYD-BNE,SYD,BNE,B,3,South Coast/Tasmania,18,17,Australia - New South Wales,Australia - Queensland,726.6709474,1
SYD-BNE,SYD,BNE,I,3,South Coast/Tasmania,14,,Australia - New South Wales,Australia - Queensland,,2
SYD-DXB,SYD,DXB,B,36,Southeast Asia,62,62,Australia - New South Wales,UAE,6219.246333,2
SYD-HKG,SYD,HKG,B,19,GB Reef/Queensland,69,,Australia - New South Wales,China - Southern,3292.95875,2
SOU-SOU,SOU,SOU,B,99,West Bound,27,16,UK,UK,17637.92075,2
SOU-SYD,SOU,SYD,B,44,West Bound,91,71,UK,Australia - New South Wales,6920.818977,2
SOU-BNE,SOU,BNE,O,47,West Bound,49,40,UK,Australia - Queensland,6609.902973,2
SOU-SFO,SOU,SFO,B,24,Panama Canal,39,3,UK,USA - West Coast,3405.574448,2
SOU-SFO,SOU,SFO,B,24,Panama Canal,39,,UK,USA - West Coast,3278.515554,2
SYD-HKG,SYD,HKG,B,19,GB Reef/Queensland,11,,Australia - New South Wales,China - Southern,1137.115262,2
SOU-SYD,SOU,SYD,O,44,West Bound,35,13,UK,Australia - New South Wales,3595.661466,2
SOU-SFO,SOU,SFO,B,24,Panama Canal,35,,UK,USA - West Coast,2208.935204,2
AKL-SYD,AKL,SYD,B,4,New Zealand,21,,New Zealand,Australia - New South Wales,537.6487296,2
SYD-SIN,SYD,SIN,I,25,Southeast Asia,5,,Australia - New South Wales,Singapore,1650.501521,2
SOU-SYD,SOU,SYD,B,44,West Bound,38,,UK,Australia - New South Wales,4677.293739,1
SOU-SYD,SOU,SYD,O,44,West Bound,33,13,UK,Australia - New South Wales,2881.298375,2
SOU-SYD,SOU,SYD,B,44,West Bound,40,,UK,Australia - New South Wales,6662.645712,2
SFO-AKL,SFO,AKL,O,16,South Pacific,40,,USA - West Coast,New Zealand,2661.08702,2
SYD-SIN,SYD,SIN,B,25,Southeast Asia,29,24,Australia - New South Wales,Singapore,3866.269702,1
SYD-SIN,SYD,SIN,B,25,Southeast Asia,27,,Australia - New South Wales,Singapore,4159.6775,2
SFO-HKG,SFO,HKG,B,39,Australia/NZ,86,34,USA - West Coast,China - Southern,6444.035124,2
SYD-BNE,SYD,BNE,I,3,South Coast/Tasmania,8,7,Australia - New South Wales,Australia - Queensland,332.5046619,2
SYD-HKG,SYD,HKG,B,19,GB Reef/Queensland,21,,Australia - New South Wales,China - Southern,3398.427308,2
SYD-SOU,SYD,SOU,B,55,Southeast Asia,94,,Australia - New South Wales,UK,7815.477757,2
SFO-SYD,SFO,SYD,B,20,South Pacific,54,,USA - West Coast,Australia - New South Wales,3739.746472,2
SFO-SYD,SFO,SYD,B,20,South Pacific,43,,USA - West Coast,Australia - New South Wales,3673.517599,2
SFO-SYD,SFO,SYD,B,20,South Pacific,51,,USA - West Coast,Australia - New South Wales,3461.609619,2
SFO-SYD,SFO,SYD,B,20,South Pacific,49,,USA - West Coast,Australia - New South Wales,3204.368735,2
SOU-SOU,SOU,SOU,B,99,West Bound,66,,UK,UK,16274.89392,2
SOU-SOU,SOU,SOU,O,99,West Bound,62,,UK,UK,13127.6063,2
SYD-HKG,SYD,HKG,I,19,GB Reef/Queensland,13,,Australia - New South Wales,China - Southern,1430.678178,2
BNE-HKG,BNE,HKG,O,16,GB Reef/Queensland,10,,Australia - Queensland,China - Southern,1037.88755,2
BNE-SOU,BNE,SOU,B,52,Southeast Asia,80,,Australia - Queensland,UK,12575.31239,1
SFO-SYD,SFO,SYD,B,20,South Pacific,38,,USA - West Coast,Australia - New South Wales,3124.775877,2
SFO-SYD,SFO,SYD,B,20,South Pacific,38,,USA - West Coast,Australia - New South Wales,2345.048922,2
SFO-SYD,SFO,SYD,B,20,South Pacific,48,,USA - West Coast,Australia - New South Wales,2355.651806,2
SFO-SYD,SFO,SYD,B,20,South Pacific,28,,USA - West Coast,Australia - New South Wales,2658.427969,2
SYD-SIN,SYD,SIN,I,25,Southeast Asia,96,,Australia - New South Wales,Singapore,2718.459146,2
HKG-DXB,HKG,DXB,I,17,Southeast Asia,95,,China - Southern,UAE,2130.944382,2
HKG-DXB,HKG,DXB,I,17,Southeast Asia,98,,China - Southern,UAE,1646.61022,2
AKL-HKG,AKL,HKG,O,23,GB Reef/Queensland,64,,New Zealand,China - Southern,3372.128055,2
AKL-SOU,AKL,SOU,B,59,Southeast Asia,57,,New Zealand,UK,8669.002117,2
AKL-SYD,AKL,SYD,I,4,New Zealand,25,,New Zealand,Australia - New South Wales,830.1870472,1
AKL-SYD,AKL,SYD,O,4,New Zealand,11,10,New Zealand,Australia - New South Wales,688.9992085,1
SOU-SOU,SOU,SOU,O,99,West Bound,49,31,UK,UK,23047.30639,1
HKG-DXB,HKG,DXB,B,17,Southeast Asia,53,,China - Southern,UAE,3029.567928,2
SOU-SFO,SOU,SFO,B,24,Panama Canal,35,,UK,USA - West Coast,1836.924801,2
SYD-BNE,SYD,BNE,O,3,South Coast/Tasmania,15,,Australia - New South Wales,Australia - Queensland,368.0574675,2
SYD-BNE,SYD,BNE,O,3,South Coast/Tasmania,26,,Australia - New South Wales,Australia - Queensland,400.9428448,2
SOU-SYD,SOU,SYD,B,44,West Bound,91,,UK,Australia - New South Wales,8813.644097,1
SOU-SFO,SOU,SFO,B,24,Panama Canal,31,,UK,USA - West Coast,2237.144015,2
SOU-SFO,SOU,SFO,B,24,Panama Canal,32,,UK,USA - West Coast,1703.962966,2
SOU-SFO,SOU,SFO,B,24,Panama Canal,31,,UK,USA - West Coast,2460.317349,2
SOU-SFO,SOU,SFO,B,24,Panama Canal,13,,UK,USA - West Coast,4691.039993,2
SYD-HKG,SYD,HKG,B,19,GB Reef/Queensland,55,,Australia - New South Wales,China - Southern,2978.893365,2
SYD-SIN,SYD,SIN,I,25,Southeast Asia,79,,Australia - New South Wales,Singapore,2312.101251,2
SYD-SIN,SYD,SIN,B,25,Southeast Asia,45,,Australia - New South Wales,Singapore,4975.920279,2
SOU-AKL,SOU,AKL,I,40,West Bound,80,,UK,New Zealand,4189.956515,2
SOU-SYD,SOU,SYD,B,44,West Bound,35,,UK,Australia - New South Wales,8218.968248,2
SOU-SYD,SOU,SYD,B,44,West Bound,12,,UK,Australia - New South Wales,5591.82718,2
SOU-SFO,SOU,SFO,B,24,Panama Canal,47,26,UK,USA - West Coast,3699.026939,2
SOU-SOU,SOU,SOU,B,99,West Bound,70,,UK,UK,14803.46668,2
SYD-HKG,SYD,HKG,B,19,GB Reef/Queensland,16,,Australia - New South Wales,China - Southern,1879.167663,2
SOU-BNE,SOU,BNE,B,47,West Bound,63,16,UK,Australia - Queensland,9005.701768,2
SOU-AKL,SOU,AKL,B,40,West Bound,42,,UK,New Zealand,6856.444046,2
SOU-SFO,SOU,SFO,B,24,Panama Canal,38,13,UK,USA - West Coast,1521.986677,2
DXB-SOU,DXB,SOU,B,19,Middle East,24,,UAE,UK,2507.132512,2
SOU-SOU,SOU,SOU,B,99,West Bound,69,,UK,UK,11805.31005,2
SOU-BNE,SOU,BNE,I,47,West Bound,55,53,UK,Australia - Queensland,4478.980932,2
SOU-SFO,SOU,SFO,B,24,Panama Canal,37,,UK,USA - West Coast,1532.023912,2
SOU-SFO,SOU,SFO,I,24,Panama Canal,35,,UK,USA - West Coast,1624.388908,2
SFO-SYD,SFO,SYD,O,20,South Pacific,35,,USA - West Coast,Australia - New South Wales,2926.710914,2
SIN-SOU,SIN,SOU,B,30,Southern Asia,85,,Singapore,UK,5621.905304,2
DXB-SOU,DXB,SOU,B,19,Middle East,25,,UAE,UK,1949.419345,2
SOU-SOU,SOU,SOU,B,99,West Bound,89,75,UK,UK,17105.73349,2
SOU-SOU,SOU,SOU,S,99,West Bound,58,57,UK,UK,21451.61814,2
SOU-SOU,SOU,SOU,B,99,West Bound,54,,UK,UK,12514.36797,2
SOU-SFO,SOU,SFO,I,24,Panama Canal,38,,UK,USA - West Coast,1515.256348,2
SOU-SFO,SOU,SFO,O,24,Panama Canal,32,,UK,USA - West Coast,1798.610712,2
SOU-SFO,SOU,SFO,B,24,Panama Canal,49,,UK,USA - West Coast,3448.741355,2
SOU-SOU,SOU,SOU,B,99,West Bound,90,,UK,UK,15189.50907,2
AKL-SOU,AKL,SOU,B,59,Southeast Asia,73,48,New Zealand,UK,10424.42315,2
DXB-SOU,DXB,SOU,B,19,Middle East,47,,UAE,UK,2910.961266,2
DXB-SOU,DXB,SOU,B,19,Middle East,26,,UAE,UK,2477.583198,2
BNE-HKG,BNE,HKG,B,16,GB Reef/Queensland,27,,Australia - Queensland,China - Southern,1283.706841,2
SOU-SFO,SOU,SFO,B,24,Panama Canal,9,7,UK,USA - West Coast,8645.294892,1
SOU-SOU,SOU,SOU,I,99,West Bound,62,14,UK,UK,11058.73595,2
DXB-SOU,DXB,SOU,I,19,Middle East,55,,UAE,UK,3711.016863,1
SOU-SOU,SOU,SOU,O,99,West Bound,30,,UK,UK,20967.8913,1
HKG-DXB,HKG,DXB,S,17,Southeast Asia,9,9,China - Southern,UAE,6582.34388,2
SOU-SOU,SOU,SOU,I,99,West Bound,94,,UK,UK,10015.43166,2
SOU-SOU,SOU,SOU,I,99,West Bound,51,,UK,UK,12403.01562,2
SYD-BNE,SYD,BNE,B,3,South Coast/Tasmania,8,,Australia - New South Wales,Australia - Queensland,447.3717586,2
SYD-HKG,SYD,HKG,B,19,GB Reef/Queensland,44,23,Australia - New South Wales,China - Southern,3621.836385,2
SYD-HKG,SYD,HKG,B,19,GB Reef/Queensland,18,,Australia - New South Wales,China - Southern,2026.221985,2
SOU-SYD,SOU,SYD,I,44,West Bound,7,,UK,Australia - New South Wales,9131.168479,1
SOU-AKL,SOU,AKL,B,40,West Bound,52,51,UK,New Zealand,6376.399332,2
SOU-SOU,SOU,SOU,B,99,West Bound,70,36,UK,UK,25579.35188,1
SOU-SOU,SOU,SOU,B,99,West Bound,70,18,UK,UK,29048.01796,1
SOU-SOU,SOU,SOU,B,99,West Bound,50,,UK,UK,17389.77861,2
SOU-SOU,SOU,SOU,I,99,West Bound,39,,UK,UK,10507.50554,2
SFO-AKL,SFO,AKL,I,16,South Pacific,8,7,USA - West Coast,New Zealand,4145.073514,1
SFO-AKL,SFO,AKL,B,16,South Pacific,32,,USA - West Coast,New Zealand,2022.640348,2
SOU-SFO,SOU,SFO,B,24,Panama Canal,36,,UK,USA - West Coast,1633.02359,2
SOU-SFO,SOU,SFO,I,24,Panama Canal,34,22,UK,USA - West Coast,1697.853521,2
SOU-SFO,SOU,SFO,B,24,Panama Canal,32,,UK,USA - West Coast,2266.240729,2
HKG-SOU,HKG,SOU,B,36,Southeast Asia,39,,China - Southern,UK,7058.991855,2
SOU-SOU,SOU,SOU,B,99,West Bound,63,,UK,UK,17537.13169,2
SOU-SOU,SOU,SOU,I,99,West Bound,84,,UK,UK,20030.5854,1
DXB-SOU,DXB,SOU,B,19,Middle East,72,,UAE,UK,3327.417646,2
SOU-SOU,SOU,SOU,B,99,West Bound,7,,UK,UK,15002.77947,2
SFO-SYD,SFO,SYD,B,20,South Pacific,78,78,USA - West Coast,Australia - New South Wales,3171.908102,2
SOU-SFO,SOU,SFO,I,24,Panama Canal,3,,UK,USA - West Coast,,1
SIN-DXB,SIN,DXB,O,11,Southern Asia,39,,Singapore,UAE,1600.142659,2
SOU-SOU,SOU,SOU,B,99,West Bound,51,,UK,UK,14250.0278,2
SOU-SOU,SOU,SOU,B,99,West Bound,50,,UK,UK,17246.36747,2
DXB-SOU,DXB,SOU,O,19,Middle East,30,,UAE,UK,1922.660236,2
DXB-SOU,DXB,SOU,O,19,Middle East,38,,UAE,UK,2819.475669,2
DXB-SOU,DXB,SOU,B,19,Middle East,33,33,UAE,UK,5752.250608,1
SOU-SOU,SOU,SOU,O,99,West Bound,49,,UK,UK,14271.18175,2
SOU-SOU,SOU,SOU,B,99,West Bound,62,23,UK,UK,16061.3785,2
SOU-AKL,SOU,AKL,O,40,West Bound,36,,UK,New Zealand,3775.466989,2
SOU-BNE,SOU,BNE,I,47,West Bound,33,33,UK,Australia - Queensland,5119.249448,2
SOU-SYD,SOU,SYD,I,44,West Bound,32,,UK,Australia - New South Wales,3803.432114,1
AKL-DXB,AKL,DXB,B,40,Southeast Asia,65,,New Zealand,UAE,7662.620739,2
AKL-SYD,AKL,SYD,O,4,New Zealand,10,10,New Zealand,Australia - New South Wales,320.1867013,2
DXB-SOU,DXB,SOU,I,19,Middle East,51,,UAE,UK,2250.808933,2
DXB-SOU,DXB,SOU,I,19,Middle East,20,,UAE,UK,1110.238178,2
SOU-SYD,SOU,SYD,I,44,West Bound,36,32,UK,Australia - New South Wales,5875.630294,2
SOU-SYD,SOU,SYD,B,44,West Bound,7,,UK,Australia - New South Wales,3634.77299,2
SOU-SFO,SOU,SFO,O,24,Panama Canal,56,,UK,USA - West Coast,5897.681831,1
SOU-SFO,SOU,SFO,O,24,Panama Canal,37,,UK,USA - West Coast,1881.072781,2
SOU-SFO,SOU,SFO,I,24,Panama Canal,37,0,UK,USA - West Coast,1599.889811,1
HKG-DXB,HKG,DXB,B,17,Southeast Asia,45,,China - Southern,UAE,3431.034902,2
SYD-BNE,SYD,BNE,I,3,South Coast/Tasmania,26,25,Australia - New South Wales,Australia - Queensland,596.1608164,1
SOU-SOU,SOU,SOU,I,99,West Bound,4,,UK,UK,,2
DXB-SOU,DXB,SOU,B,19,Middle East,13,,UAE,UK,1698.264707,2
SOU-SYD,SOU,SYD,O,44,West Bound,42,,UK,Australia - New South Wales,5286.90995,2
SFO-SYD,SFO,SYD,B,20,South Pacific,54,,USA - West Coast,Australia - New South Wales,3744.362431,2
HKG-SOU,HKG,SOU,B,36,Southeast Asia,96,,China - Southern,UK,5743.151533,2
SOU-SYD,SOU,SYD,B,44,West Bound,91,,UK,Australia - New South Wales,6991.080509,2
SOU-SYD,SOU,SYD,B,44,West Bound,71,,UK,Australia - New South Wales,7258.25349,2
SOU-SFO,SOU,SFO,O,24,Panama Canal,25,,UK,USA - West Coast,2825.347873,2
SOU-SOU,SOU,SOU,B,99,West Bound,94,,UK,UK,22291.21408,1
SIN-SOU,SIN,SOU,O,30,Southern Asia,42,41,Singapore,UK,4267.596734,2
SYD-SIN,SYD,SIN,B,25,Southeast Asia,32,,Australia - New South Wales,Singapore,3055.954769,2
SOU-SYD,SOU,SYD,B,44,West Bound,36,,UK,Australia - New South Wales,3336.971252,2
SOU-SYD,SOU,SYD,O,44,West Bound,34,,UK,Australia - New South Wales,2887.718464,2
SFO-SYD,SFO,SYD,B,20,South Pacific,54,,USA - West Coast,Australia - New South Wales,2899.309408,2
SFO-SYD,SFO,SYD,I,20,South Pacific,40,40,USA - West Coast,Australia - New South Wales,3447.604989,2
SOU-SOU,SOU,SOU,B,99,West Bound,90,,UK,UK,16510.47774,2
SOU-SOU,SOU,SOU,S,99,West Bound,72,,UK,UK,23015.51245,2
SOU-SOU,SOU,SOU,B,99,West Bound,67,66,UK,UK,12295.63893,2
AKL-SOU,AKL,SOU,I,59,Southeast Asia,35,34,New Zealand,UK,4570.3308,2
DXB-SOU,DXB,SOU,B,19,Middle East,24,,UAE,UK,2189.414786,2
SOU-BNE,SOU,BNE,B,47,West Bound,73,,UK,Australia - Queensland,6469.945203,2
SYD-SOU,SYD,SOU,B,55,Southeast Asia,37,,Australia - New South Wales,UK,7935.042031,2
SOU-SYD,SOU,SYD,I,44,West Bound,33,32,UK,Australia - New South Wales,3676.810053,2
SFO-AKL,SFO,AKL,O,16,South Pacific,5,4,USA - West Coast,New Zealand,1083.322372,2
SOU-SOU,SOU,SOU,O,99,West Bound,85,48,UK,UK,15509.2722,1
SOU-SOU,SOU,SOU,B,99,West Bound,89,,UK,UK,15423.14318,2
AKL-SYD,AKL,SYD,B,4,New Zealand,15,14,New Zealand,Australia - New South Wales,600.9898431,2
SYD-BNE,SYD,BNE,I,3,South Coast/Tasmania,14,,Australia - New South Wales,Australia - Queensland,,2
