ROUTE,EMBARK_PORT,DISEMBARK_PORT,CABIN_TYPE,DURATION,CRUISE_REGION,BOOKING_WEEK_PRIOR,CANCEL_WEEK_PRIOR,EMBARK_REGION,DEBARK_REGION,PRICE_PAID,NO_OF_PEOPLE_ON_BOOKING
SYD-SOU,SYD,SOU,O,55,Southeast Asia,41,,Australia - New South Wales,UK,4594.122076,2
SYD-SOU,SYD,SOU,I,55,Southeast Asia,39,,Australia - New South Wales,UK,4447.608465,2
SYD-SOU,SYD,SOU,B,55,Southeast Asia,25,24,Australia - New South Wales,UK,10968.50984,2
SFO-SYD,SFO,SYD,B,20,South Pacific,67,,USA - West Coast,Australia - New South Wales,3660.564273,2
SFO-SYD,SFO,SYD,B,20,South Pacific,53,20,USA - West Coast,Australia - New South Wales,2352.812931,2
SFO-SYD,SFO,SYD,B,20,South Pacific,42,,USA - West Coast,Australia - New South Wales,3292.297498,2
SOU-SOU,SOU,SOU,O,99,West Bound,71,22,UK,UK,21889.98063,1
SOU-SOU,SOU,SOU,S,99,West Bound,71,70,UK,UK,22708.16644,2
SYD-HKG,SYD,HKG,I,19,GB Reef/Queensland,12,,Australia - New South Wales,China - Southern,1421.647808,2
SYD-SOU,SYD,SOU,B,55,Southeast Asia,28,27,Australia - New South Wales,UK,8407.683547,2
AKL-HKG,AKL,HKG,B,23,GB Reef/Queensland,84,41,New Zealand,China - Southern,4407.49531,2
AKL-SOU,AKL,SOU,B,59,Southeast Asia,49,48,New Zealand,UK,9617.877618,2
SOU-SOU,SOU,SOU,B,99,West Bound,58,57,UK,UK,15242.60131,2
SYD-SIN,SYD,SIN,B,25,Southeast Asia,37,36,Australia - New South Wales,Singapore,3310.840127,2
AKL-SOU,AKL,SOU,B,59,Southeast Asia,85,84,New Zealand,UK,9369.244385,2
AKL-SYD,AKL,SYD,B,4,New Zealand,10,,New Zealand,Australia - New South Wales,496.9900406,2
SYD-BNE,SYD,BNE,I,3,South Coast/Tasmania,13,12,Australia - New South Wales,Australia - Queensland,493.6892443,1
SOU-SOU,SOU,SOU,O,99,West Bound,17,,UK,UK,13711.727,2
SYD-SIN,SYD,SIN,B,25,Southeast Asia,50,,Australia - New South Wales,Singapore,3915.924979,2
SYD-SOU,SYD,SOU,I,55,Southeast Asia,6,5,Australia - New South Wales,UK,13060.88405,1
HKG-DXB,HKG,DXB,B,17,Southeast Asia,52,,China - Southern,UAE,3455.46262,2
SOU-SFO,SOU,SFO,I,24,Panama Canal,38,,UK,USA - West Coast,1154.359811,2
SYD-BNE,SYD,BNE,I,3,South Coast/Tasmania,7,,Australia - New South Wales,Australia - Queensland,316.9092373,2
