"","id","Hours","Day","Pride","Love","Hope","Gratitude","Joy","Satisfaction","Awe","Amusement","Alertness","Anxiety","Disdain","Offense","Guilt","Disgust","Fear","Embarrassment","Sadness","Anger"
"30",26,20,5,1,0,1,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0
"31",26,21,2,1,1,1,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0
"32",32,13,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"33",32,13,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"34",32,16,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"35",32,16,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"36",32,16,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"37",32,17,3,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
"38",32,17,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"39",32,18,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"40",32,19,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"41",32,19,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"42",32,21,7,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"43",43,11,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"44",43,18,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
"45",45,12,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"46",45,20,6,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"47",47,10,3,0,0,1,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0
"48",47,19,3,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0
"49",47,19,5,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0
"50",47,20,1,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
"51",47,20,1,1,0,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0
"52",47,22,4,0,0,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0
"53",47,22,6,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0
"54",54,7,5,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"55",54,16,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
"56",56,7,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
"57",56,14,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
"58",56,16,4,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0
"59",56,17,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"60",60,11,1,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"61",60,12,6,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
"62",60,21,7,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"63",60,22,6,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0
"64",64,12,6,0,0,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0
"65",64,13,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"66",64,16,6,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
"67",64,20,6,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
"68",68,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"69",68,6,2,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0
"70",68,11,6,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
"71",68,15,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
"72",68,16,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0
"73",68,18,5,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0
"74",68,19,6,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"75",75,1,6,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0
"76",75,15,2,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
"77",77,10,3,0,0,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0
"78",77,10,7,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
"79",77,11,4,1,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0
"80",77,17,5,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0
"81",81,9,7,0,0,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0
"82",81,11,1,1,1,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0
"83",81,16,6,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"84",81,18,4,0,1,1,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0
"85",85,11,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"86",85,18,6,1,0,0,0,0,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"87",87,9,2,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0
"88",87,9,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"89",87,9,4,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
"90",87,10,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"91",91,8,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"92",91,8,4,0,1,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0
"93",91,10,2,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0
"94",91,12,3,0,1,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0
"95",91,14,5,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0
"96",91,14,6,0,1,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0
"97",91,18,6,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1
"98",91,18,6,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0
"99",91,19,1,0,1,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0
"100",100,9,7,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1
"101",100,11,5,0,1,0,0,0,0,0,1,0,1,0,1,0,1,0,0,1,1
"102",100,15,2,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
"103",100,18,4,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1
"104",104,8,4,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0
"105",104,8,6,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"106",106,13,3,0,1,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0
"107",106,13,4,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
"108",108,11,7,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0
"109",108,15,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
"110",110,10,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"111",110,11,7,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
"112",110,13,2,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0
"113",110,13,2,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0
"114",110,15,2,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0
"115",110,15,2,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0
